id,nameEng,nameKor,price,aroma,taste,finish,type,capacity,alcohol,country,description
0,Cadenhead's Seven Stars 30yo,카덴헤드 세븐 스타즈 30년,365000,"['과일향', '와인향', '꽃향기']","['과일향', '와인향', '곡물향']","['과일향', '와인향', '나무향']",블렌디드,700ml,48.2%,스코틀랜드,
1,Johnnie Walker Blue Label Limited Edition - Nomad Cities Seoul,조니워커 블루 노마드 시티 서울 에디션,399000,"['과일향', '와인향', '피트향']","['잔류액향', '과일향', '와인향', '피트향']","['잔류액향', '유황', '피트향']",블렌디드,750ml,40%,스코틀랜드,
2,Hibiki 30yo Kacho Fugetsu,히비키 30년 화조풍월,11000000,"['과일향', '유황']","['과일향', '나무향']",['잔류액향'],블렌디드,700ml,43%,일본,
3,The Busker Triple Cask Triple Smooth,더 버스커 트리플 캐스크 트리플 스무스,40000,"['과일향', '나무향']","['꽃향기', '곡물향', '와인향', '피트향']","['잔류액향', '과일향']",블렌디드,700ml,40%,아일랜드,
4,Mars Iwai Tradition Sherry Cask Finish 2023,마르스 이와이 트레디션 셰리 캐스크 피니시 2023,85900,"['잔류액향', '과일향']",[],['와인향'],블렌디드,700ml,40%,일본,
5,Loyal Salute 21 yo the Polo Estancia Edition,로얄살루트 21년 에스텐시아 폴로 에디션,339000,"['꽃향기', '과일향', '와인향', '피트향']","['과일향', '꽃향기']","['잔류액향', '과일향']",블렌디드,700ml,40%,스코틀랜드,"‘폴로’라는 스포츠에 대해서 아시나요? 우리에게 익숙한 옷 브랜드의 로고처럼 말을 타고 하키를 하는 경기입니 다. 그 폴로의 고향이라고 불리는 아르헨티나의 에스텐시 아(아르헨티나의 농장)에서 영감을 얻은 한정판 '로얄살 루트 21년 에스텐시아 폴로 에디션'입니다. 따뜻한 기후와 멋진 햇빛, 여유로운 분위기가 아름다운 에스텐시아는 아르헨티나만의 분위기와 폴로 경기를 즐 기기에 완벽한 공간입니다. 병과 패키지 디자인에도 아르 헨티나와 에스텐시아의 분위기를 그대로 담았습니다. 세 계적인 디자이너 '찰리 데이비스'가 디자인한 패키지에는 따뜻한 태양 아래 폴로 경기를 하는 사람이 있는데요. 전 잉글랜드 폴로 팀 주장인 '말콤 보윅'의 서명이 기입되어 있는 등 폴로를 상징하는 요소들이 곳곳에 있습니다."
6,Royal Salute 21yo,로얄살루트 21년,269000,"['과일향', '꽃향기', '나무향']","['과일향', '와인향', '피트향']",['잔류액향'],블렌디드,700ml,40%,스코틀랜드,"엘리자베스 2세 여왕의 대관식에 헌정되면서 '여왕의 위 스키'라는 별칭으로 불리는 최고의 블렌디드 위스키이자, 박정희 전 대통령이 침대 머리맡에 두고 밤에 잠이 오지 않을 때마다 마셨다는 독보적인 럭셔리 스카치 위스키는 바로 '로얄살루트 21년'입니다. 박정희 전 대통령의 측근 들조차 그 맛에 감탄하여 침을 꼴깍 삼킬 정도였다는 에 피소드가 전해질 정도로 '로얄살루트'의 명성은 자자합니 다. 로얄살루트는 전 세계 대표적인 고품격 스카치 위스 키로서 최소 21년 이상 숙성된 원액만을 이용해서 위스키 를 생산합니다. 그래서 다른 제품들은 보통 21년 숙성된 제품을 가장 높은 연산으로 내세우는 반면, 로얄살루트는 21년 숙성 제품을 엔트리 레벨로 선보이고 있죠. 로얄살 루트는 최소 21년 이상의 숙성된 원액의 블렌딩으로 완성 되는 위스키로, 한계를 뛰어넘는 오늘날의 리더(Today's King)들을 표상하고 있습니다."
7,Royal Salute 30yo 500ml,로얄살루트 30년 500ml,1190000,"['잔류액향', '과일향', '꽃향기']","['과일향', '유황', '피트향', '나무향']","['잔류액향', '나무향', '피트향']",블렌디드,500ml,40%,스코틀랜드,"'로얄살루트 30년'은 영국의 Key Cremony에서 영감을 받아 디자인되었습니다. Key Ceremony는 매년 영국 왕 실에서 진행하는 행사로, 영국 왕실의 군주에게 존경과 축하의 의미를 담아 에든버러 시의 열쇠를 전달하는 상징 적인 의식입니다. '로얄살루트 30년'은 그 영감의 출처에 걸맞도록 희귀한 30년산 이상의 위스키 원액만을 블렌딩 하여 모던한 달콤함과 고급스러운 훈연의 풍미를 표현합니다. 잘 익은 배 향기와 달콤한 꿀, 겨울에 어울리는 계피, 부드럽게 이어지는 길고 따뜻한 스모크 터치가 인상적입니다."
8,Dewar's 12 yo,듀어스 12년,69000,"['과일향', '곡물향', '나무향']","['잔류액향', '와인향', '피트향']","['과일향', '피트향']",블렌디드,700ml,40%,스코틀랜드,"'듀어스 12년'은 듀어스의 대표적인 제품입니다. 최소 12 년 이상의 최상급 원액을 두 번 숙성하는 Double Aged 공법으로 부드러움이 극대화된 위스키입니다. 듀어스 12년은 프루티한 향에 이어 은은하게 올라오는 바 닐라 향이 인상적입니다. 한 입 머금으면 진한 꿀에서 느 껴지는 농도 짙은 단맛과 오크 풍미가 조화롭게 어우러집 니다. 달콤함 속에 은은하게 올라오는 시트러스, 부드러 운 목넘김 속에서 느껴지는 스파이시함과 가벼운 스모키 까지. 향과 맛에 있어 지루함이 없습니다. 듀어스 12년의 매력적인 풍미는 니트(neat)로 온전히 느 껴도 좋고, 탄산수와 함께 하이볼로 즐겨도 좋습니다. 위 스키 입문자에게도, 데일리 위스키를 찾는 위스키 애호가 에게도 좋은 선택지가 될 수 있습니다."
9,Johnnie Walker Black 750ml,조니워커 블랙 750ml,61000,"['과일향', '피트향', '나무향']","['과일향', '나무향']",['피트향'],블렌디드,750ml,40%,스코틀랜드,"조니워커, 다들 한 번씩은 들어본 이름일거라 생각합니 다. 조니워커 중에서도 유명한 제품 중 하나인 '조니워커 블랙라벨'은, 위스키를 입문하시는 분들에게 추천드리는 술입니다. 부담스럽지 않은 가격에, 조니워커 특유의 강 한 향과 밸런스가 잘 잡힌 맛을 즐길 수 있는 위스키이기 때문이죠. 튀지 않고 균형감있는 맛 때문에 데일리로 즐 기시는 분도 많은 조니워커 블랙, 한 번 시도해보시는건 어떨까요?"
10,Ballantine's 12 yo 1L,발렌타인 12년 1L,68000,"['잔류액향', '나무향']","['잔류액향', '나무향', '꽃향기']","['잔류액향', '과일향']",블렌디드,700ml,40%,스코틀랜드,"한국인이 가장 사랑하는 스카치 위스키, 발렌타인은 1827년 스코틀랜드에서 시작되었습니다. 최상의 원료와 발렌타인 마스터 블렌더의 블렌딩, 그리고 수제작한 부르 봉통에서의 에이징이 약 200년 동안 세계적으로 인정 받는 발렌타인 맛의 비밀입니다. '발렌타인 12년'은 부담 없이 마시기 좋은 최고의 스카치 위스키입니다. 스카치 위스키 입문을 위해서라면 가격과 품질 면에서 모두 최고 의 위스키라고 자부할 수 있을 것입니다. 보통의 위스키 용량인 700ml보다 훨씬 넉넉한 1L로 '발렌타인 12년'을 만나보세요."
11,Continental Whisky Yellow Label,콘티넨탈 위스키 옐로우 라벨,39500,"['나무향', '와인향']",['나무향'],[],블렌디드,700ml,37%,일본,"'콘티넨탈 위스키 옐로우 라벨'은 은은한 오크 향과 바닐향을 통한 부드럽고 온화한 맛이 특징이며, 이를 다양 한 요리와 함께 부담 없이 즐기실 수 있습니다. 이러한 '콘티넨탈 위스키 옐로우 라벨'은 식전과 식 중, 그리고 식후 모두 언제든 즐기기에 좋습니다."
12,The Smooth by Imperial 17,더 스무스 바이 임페리얼 17년,56000,"['나무향', '과일향']","['과일향', '곡물향', '나무향']","['나무향', '과일향', '꽃향기']",블렌디드 몰트,450ml,35%,스코틀랜드,'더 스무스 바이 임페리얼 17년은 17년 숙성 몰트 원액만 을 사용해 만든 블렌디드 몰트 위스키입니다. 한국인이 좋아하는 잘 익은 배와 실크같은 바닐라 풍미가 17년이라 는 인내의 깊이로 어우러져 있습니다. 또한 '더 스무스 바 이 임페리얼 17년의 키트는 스페이사이드 지역의 글렌 키스 증류소의 원액으로 알려져있습니다.
13,Scotch Blue,스카치블루,36500,['나무향'],['과일향'],['피트향'],블렌디드,450ml,35~40%,대한민국,'스카치 블루'는 엄선한 스코틀랜드 위스키 원액을 한국인 의 입맛에 맞게 블렌딩해 보다 부드러운 맛과 풍부한 향 을 살린 프리미엄 위스키입니다. '스카치 블루'는 부드러 움의 새로운 가치를 제공하고자 정통 스코틀랜드의 위스 키 제조 노하우를 바탕으로 만들어진 제품입니다. Mr. Boston Scotch
14,Johnnie Walker Blue,미스터 보스턴 스카치,23000,"['잔류액향', '피트향']","['잔류액향', '과일향', '나무향']","['과일향', '피트향']",블렌디드,1000ml,40%,미국,"스모키한 스카치 위스키의 풍미를 담다 전 세계에서 가장 유명한 위스키 생산지는 스코틀랜드라 고 해도 과언이 아니죠. '미스턴 보스턴 스카치는 스카치 위스키 특유의 달콤한 꿀의 맛과 부드럽지만 약간은 스모키한 향이 특징입니다. 이런 미스턴 보스턴 스카치를 더욱 달콤하게 즐기기 위해서는 잔에 따른 후 물 몇 방울을 넣으면 되는데요. 이렇게 간단한 방법으로 닫혀있던 향이 열리면서 단맛이 더욱 극대화되니 따라해보셔도 좋습니다. 또한 미스턴 보스턴 스카치는 호불호 없는 맛을 자랑하기 때문에 칵테일, 하이볼, 온더락 등 마음껏 즐겨도 부담 없 습니다. 홈파티할 때, 칵테일 만들 때 마실 스카치 위스키를 찾으신다면 미스턴 보스턴 스카치가 어떨까요? 1000ml에 23,000원, 그러니까 한 잔에(30ml) 약 700 원 정도로 극강의 가성비를 자랑하니까요."
15,J&B Jet 500ml,제이앤비 제트 500ml,45000,"['잔류액향', '나무향', '꽃향기']","['과일향', '곡물향']","['나무향', '피트향']",블렌디드,500ml,40%,스코틀랜드,"검은 보석을 뜻하는 '제이 앤 비 제트'는 말 그대로 검은 보석(Jet Stone)을 상징하는 신비롭고 카리스마 넘치는 검은 병에 담겨 있습니다. '제이 앤 비 제트'는 12년 이상 숙성된 스페이사이드산 몰 트위스키를 블렌딩한 뒤에 6개월 이상 재숙성시키는 독 특한 제조 공정을 거치는데, 이 안정화하는 과정 동안 맛 이 균형 잡혀지고 향이 더욱 부드러워집니다. 뚜껑을 여니 가벼운 꿀 향과 바닐라, 코코넛 향이 은은하 게 납니다. 맛을 보면 맥아의 달콤한 맛과 사과, 배 등의 신선한 과일 맛이 나며, 미세한 피트 향과 약간의 오크 향 도 느낄 수 있습니다. 마지막으로 부드럽고 라이트한 피 니시로 부담없이 즐길 수 있습니다. 과거 엄청난 히트를 쳤다가 단종되어서 쉽게 찾아볼 수 없는 추억의 위스키를 만나보세요."
